Cocktail Name,Ingredients,Preparation
Apello,"Maraschino cherry, Apple juice, Grapefruit juice, Orange juice, ",Stirr. Grnish with maraschino cherry.
Afterglow,"Pineapple juice, Orange juice, Grenadine, ",Mix. Serve over ice.
Bora Bora,"Grenadine, Lemon juice, Passion fruit juice, Pineapple juice, ","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Coke and Drops,"Lemon juice, Coca-Cola, ","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
Chocolate Drink,"Water, Milk, Chocolate, ","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
Cranberry Punch,"Ginger ale, Almond flavoring, Pineapple juice, Sugar, Cranberry juice, ","Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
Drinking Chocolate,"Whipped cream, Chocolate, Vanilla, Cinnamon, Milk, Heavy cream, ","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Egg Cream,"Soda water, Milk, Chocolate syrup, ","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,"Nutmeg, Sugar, Egg white, Whipping cream, Salt, Vanilla extract, Bourbon, Light rum, Milk, Sugar, Egg yolk, ","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg Nog - Healthy,"Nutmeg, Rum, Vanilla extract, Milk, Condensed milk, Sugar, Egg, ","Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
Egg-Nog - Classic Cooked,"Vanilla extract, Milk, Salt, Sugar, Egg, ","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
Frappé,"Sugar, Milk, Coffee, ","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Fruit Shake,"Ice, Fruit, Orange juice, Banana, Yoghurt, ",Blend til smooth.
Fruit Cooler,"Ice, Soda water, Apple, Lemon, Sugar, Strawberries, Apple juice, ","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
Fruit Flip-Flop,"Fruit juice, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
GG,"Ice, Ginger ale, Galliano, ",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
Gluehwein,"Lemon peel, Cloves, Cinnamon, Sugar, Water, Red wine, ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Holloween Punch,"Sherbet, Sherbet, Carbonated soft drink, Grape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
Hot Chocolate to Die for,"Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate, ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Ipamena,"Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
Iced Coffee,"Milk, Water, Sugar, Coffee, ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
Just a Moonmint,"Mint syrup, Chocolate syrup, Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Kiwi Papaya Smoothie,"Papaya, Kiwi, ",Throw everything into a blender and liquify.
Kill the cold Smoothie,"Water, Lemon, Ginger, ",Juice ginger and lemon and add it to hot water. You may add cardomom.
Limeade,"Lime peel, Soda water, Sugar, Lime, ","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
Lassi Khara,"Asafoetida, Salt, Water, Yoghurt, ",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
Lassi Raita,"Salt, Lime, Sugar, Ice, Yoghurt, ","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
Lemouroudji,"Cayenne pepper, Sugar, Lemon, Water, Ginger, ","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
Lassi - Sweet,"Lemon juice, Salt, Sugar, Water, Yoghurt, ",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
Lassi - Mango,"Water, Sugar, Yoghurt, Mango, ",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
Lassi - A South Indian Drink,"Mint, Salt, Cumin seed, Water, Yoghurt, ","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
Melya,"Cocoa powder, Honey, Espresso, ","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
Masala Chai,"Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water, ",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
Nuked Hot Chocolate,"Milk, Vanilla extract, Sugar, Cocoa powder, ","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts."
Orangeade,"Soda water, Sugar syrup, Orange juice, Lemon juice, ","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw."
Orange Scented Hot Chocolate,"Nutmeg, Espresso, Orange peel, Chocolate, Milk, ","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings."
Pysch Vitamin Light,"Ice, Pineapple juice, Apple juice, Orange juice, ",Shake with ice.
Pineapple Gingerale Smoothie,"Pineapple, Ginger, ",Throw everything into a blender and liquify.
Rail Splitter,"Ginger ale, Lemon juice, Sugar syrup, ",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
Sweet Bananas,"Honey, Banana, Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Tomato Tang,"Celery salt, Lemon juice, Tomato juice, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Thai Coffee,"Ice, Whipping cream, Sugar, Cardamom, Coriander, Coffee, ","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
Thai Iced Tea,"Mint, Ice, Condensed milk, Water, Tea, ","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
Thai Iced Coffee,"Cardamom, Cream, Sugar, Coffee, ","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
Wine Cooler,"Ice, Lemon-lime soda, Red wine, ",Mix wine and soft drink. Pour into glass. Add ice.
Yoghurt Cooler,"Ice, Fruit, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed."
